image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score,f1_otm,f1_gmns,f1_hdbscan
Image_2142,384,32,3,76,87,82,15.41,50,1.14,3,0.09,0.48,0.941,0.91,0.205
Image_2141,384,32,3,83,109,96,7.47,64,1.31,6,1.09,0.38,0.625,0.625,0.533
Image_2138,384,32,3,53,83,68,7.41,36,1.57,13,0.79,0.34,0.711,0.711,0.619
Image_2140,384,32,3,77,73,75,17.72,43,1.05,0,0.0,0.49,1.0,1.0,0.5
Image_2051,384,32,3,102,56,79,9.09,47,1.82,1,0.06,0.71,0.968,0.933,0.235
Image_2036,384,32,3,76,51,64,4.55,32,1.49,1,0.04,0.79,0.806,0.879,0.86
Image_2035,384,32,3,108,40,74,5.26,42,2.7,3,0.1,0.81,0.708,0.76,0.694
Image_2026,384,32,3,83,58,70,4.52,38,1.43,4,0.2,0.88,0.889,0.889,0.829
Image_2019,384,32,3,119,81,100,5.13,68,1.47,9,0.38,0.85,0.757,0.757,0.667
Image_2018,384,32,3,34,73,54,4.33,22,2.15,19,0.22,0.71,0.766,0.84,0.184
Image_2011,384,32,3,55,35,45,2.34,13,1.57,43,0.35,0.65,0.78,0.78,0.049
Image_2009,384,32,3,29,22,26,0.94,6,1.32,271,0.58,0.76,0.594,0.594,0.02
Image_2008,384,32,3,51,46,48,2.13,16,1.11,39,0.48,0.72,0.683,0.683,0.091
Image_2007,384,32,3,41,36,38,13.34,6,1.14,2,0.02,0.6,0.726,0.593,0.198
Image_2005,384,32,3,31,24,28,0.47,4,1.29,179,0.56,0.77,0.607,0.61,0.028
Image_2004,384,32,3,35,22,28,1.89,4,1.59,259,0.53,0.72,0.636,0.636,0.018
Image_1493,384,32,3,17,28,22,1.32,10,1.65,41,1.55,0.29,0.546,0.524,0.109
Image_1463,384,32,3,31,37,34,6.78,2,1.19,9,0.17,0.34,0.911,0.893,0.179
Image_1461,384,32,3,15,23,19,1.67,13,1.53,51,1.05,0.39,0.649,0.639,0.039
Image_1456,384,32,3,15,21,18,2.32,14,1.4,16,0.09,0.55,0.802,0.82,0.085
Image_1130,384,32,3,15,10,12,1.7,20,1.5,22,0.56,0.9,0.28,0.28,0.0
Image_1106,384,32,3,31,28,30,5.92,2,1.11,11,0.29,0.52,0.68,0.546,0.224
Image_998,384,32,3,34,42,38,2.51,6,1.24,9,0.58,0.48,0.702,0.702,0.588
Image_996,384,32,3,59,78,68,8.63,36,1.32,7,0.61,0.48,0.759,0.759,0.912
Image_993,384,32,3,59,75,67,11.75,35,1.27,7,0.67,0.25,0.741,0.741,0.97
Image_991,384,32,3,18,29,24,1.05,8,1.61,8,0.08,0.63,0.783,0.783,0.041
Image_990,384,32,3,19,27,23,0.94,9,1.42,28,0.2,0.68,0.719,0.753,0.035
Image_989,384,32,3,27,82,54,8.61,22,3.04,6,0.09,0.47,0.831,0.84,0.157
Image_988,384,32,3,57,114,86,2.34,54,2.0,0,0.0,0.43,0.957,0.957,0.857
Image_985,384,32,3,30,46,38,6.6,6,1.53,16,0.43,0.57,0.75,0.762,0.172
Image_907,384,32,3,48,125,86,11.0,54,2.6,6,0.17,0.59,0.727,0.75,0.129
Image_906,384,32,3,13,28,20,3.02,12,2.15,171,2.65,0.48,0.406,0.406,0.0
Image_701,384,32,3,40,73,56,2.83,24,1.82,2,0.03,0.4,0.911,0.902,0.257
Image_693,384,32,3,61,84,72,2.03,40,1.38,5,0.22,0.51,0.872,0.872,0.583
Image_680,384,32,3,53,145,99,4.26,67,2.74,2,0.19,0.53,0.816,0.909,0.957
Image_349,384,32,3,51,100,76,2.28,44,1.96,13,0.49,0.43,0.787,0.8,0.34
Image_342,384,32,3,49,64,56,21.39,24,1.31,18,0.4,0.47,0.826,0.833,0.174
Image_336,384,32,3,35,45,40,4.14,8,1.29,183,0.92,0.95,0.149,0.149,0.0
Image_330,384,32,3,84,111,98,8.1,66,1.32,14,0.35,0.6,0.781,0.781,0.214
Image_317,384,32,3,16,25,20,3.57,12,1.56,4,0.38,0.54,0.513,0.423,0.429
Image_313,384,32,3,83,125,104,10.78,72,1.51,8,0.25,0.55,0.852,0.83,0.231
Image_293,384,32,3,45,72,58,6.54,26,1.6,3,0.07,0.41,0.914,0.94,0.327
Image_291,384,32,3,54,99,76,11.11,44,1.83,7,0.93,0.48,0.632,0.667,0.886
Image_286,384,32,3,53,87,70,13.14,38,1.64,1,0.09,0.48,0.952,0.842,0.237
Image_2,384,32,3,50,82,66,1.94,34,1.64,1,0.13,0.46,0.933,0.933,0.769
Image_7645,384,48,3,43,145,94,5.91,46,3.37,17,0.54,0.78,0.558,0.524,0.261
Image_7095,384,48,3,35,116,76,3.4,28,3.31,26,0.34,0.57,0.723,0.733,0.074
Image_7661,384,48,3,30,41,36,3.7,12,1.37,16,0.3,0.51,0.818,0.791,0.164
Image_7662,384,48,3,47,35,41,3.97,7,1.34,6,0.16,0.48,0.909,0.909,0.125
Image_6661,384,48,3,11,12,12,0.71,36,1.09,62,0.2,0.68,0.89,0.827,0.025
Image_6660,384,48,3,279,30,154,2.16,106,9.3,15,0.59,0.85,0.276,0.333,0.216
Image_6659,384,48,3,40,323,182,2.49,134,8.07,6,0.39,0.77,0.421,0.571,0.133
Image_6658,384,48,3,15,9,12,1.7,36,1.67,29,0.07,0.69,0.408,0.312,0.0
Image_6657,384,48,3,25,25,25,7.83,23,1.0,39,0.46,0.44,0.787,0.769,0.126
Image_6656,384,48,3,29,30,30,2.13,18,1.03,12,0.14,0.36,0.936,0.936,0.165
Image_6655,384,48,3,9,73,41,1.47,7,8.11,174,2.62,0.4,0.313,0.288,0.032
Image_6653,384,48,3,17,21,19,1.48,29,1.24,38,0.11,0.53,0.929,0.927,0.019
Image_6652,384,48,3,41,79,60,1.73,12,1.93,8,0.31,0.31,0.862,0.862,0.8
Image_6651,384,48,3,40,151,96,5.4,48,3.77,6,0.44,0.75,0.551,0.345,0.319
Image_6650,384,48,3,75,90,82,4.31,34,1.2,14,2.15,0.28,0.462,0.462,0.71
Image_6649,384,48,3,17,46,32,18.54,16,2.71,12,0.12,0.45,0.801,0.614,0.036
Image_6648,384,48,3,20,19,20,1.09,28,1.05,7,0.13,0.65,0.878,0.878,0.077
Image_6645,384,48,3,34,32,33,2.78,15,1.06,3,0.09,0.34,0.957,0.928,0.244
Image_6644,384,48,3,6,12,9,0.71,39,2.0,71,0.12,0.8,0.647,0.588,0.044
Image_5944,384,48,3,40,57,48,2.85,0,1.43,0,0.0,0.43,0.929,0.8,0.25
Image_5940,384,48,3,78,79,78,13.21,30,1.01,4,0.17,0.42,0.901,0.816,0.138
Image_5939,384,48,3,83,133,108,18.67,60,1.6,0,0.0,0.56,1.0,0.933,0.857
Image_5938,384,48,3,57,88,72,6.97,24,1.54,3,0.11,0.45,0.949,0.933,0.176
Image_5936,384,48,3,54,69,62,2.19,14,1.28,3,0.19,0.28,0.909,0.881,0.714
Image_5934,384,48,3,61,84,72,7.26,24,1.38,7,0.29,0.47,0.829,0.829,0.339
Image_5933,384,48,3,79,44,62,6.98,14,1.8,7,0.36,0.56,0.774,0.774,0.384
Image_5932,384,48,3,99,64,82,4.21,34,1.55,2,0.09,0.34,0.952,0.952,0.824
Image_5931,384,48,3,86,137,112,8.67,64,1.59,2,0.27,0.61,0.875,0.875,0.882
Image_5930,384,48,3,65,71,68,2.72,20,1.09,15,0.51,0.63,0.651,0.651,0.222
Image_5929,384,48,3,32,57,44,3.11,4,1.78,7,0.1,0.33,0.952,0.918,0.146
Image_5926,384,48,3,42,73,58,1.05,10,1.74,1,0.11,0.43,0.894,0.894,0.615
Image_5925,384,48,3,138,98,118,19.77,70,1.41,6,0.36,0.39,0.819,0.842,0.167
Image_5924,384,48,3,101,103,102,6.4,54,1.02,3,0.22,0.4,0.864,0.897,0.72
Image_5923,384,48,3,81,68,74,3.3,26,1.19,9,0.4,0.57,0.743,0.743,0.733
Image_5922,384,48,3,26,36,31,0.94,17,1.38,11,0.24,0.59,0.835,0.821,0.167
Image_5921,384,48,3,51,76,64,1.82,16,1.49,0,0.0,0.39,0.966,0.966,0.125
Image_5918,384,48,3,72,53,62,3.25,14,1.36,1,0.09,0.46,0.913,0.811,0.462
Image_5917,384,48,3,53,74,64,1.57,16,1.4,3,0.19,0.59,0.846,0.889,0.492
Image_5915,384,48,3,49,56,52,2.87,4,1.14,6,0.32,0.5,0.8,0.8,0.286
Image_5602,384,48,3,54,74,64,1.57,16,1.37,27,0.56,0.67,0.609,0.609,0.25
Image_5601,384,48,3,54,74,64,1.67,16,1.37,13,0.37,0.61,0.772,0.772,0.354
Image_5600,384,48,3,21,24,22,1.05,26,1.14,5,0.03,0.46,0.963,0.934,0.026
Image_5598,384,48,3,58,79,68,1.71,20,1.36,8,0.25,0.48,0.852,0.852,0.282
Image_5596,384,48,3,35,49,42,4.73,6,1.4,8,0.25,0.39,0.889,0.889,0.298
Image_5595,384,48,3,69,92,80,4.59,32,1.33,1,0.07,0.48,0.966,0.966,0.571
Image_5594,384,48,3,60,77,68,2.89,20,1.28,11,0.42,0.66,0.732,0.732,0.393
Image_5593,384,48,3,49,65,57,3.83,9,1.33,24,0.51,0.67,0.657,0.657,0.397
Image_5592,384,48,3,37,21,29,1.18,19,1.76,3,0.03,0.41,0.973,0.897,0.081
Image_5591,384,48,3,65,47,56,2.98,8,1.38,14,0.3,0.5,0.821,0.821,0.171
Image_5590,384,48,3,74,102,88,7.77,40,1.38,4,0.19,0.44,0.833,0.765,0.756
Image_5588,384,48,3,36,42,39,2.51,9,1.17,8,0.14,0.45,0.925,0.925,0.151
Image_5587,384,48,3,57,72,64,2.1,16,1.26,28,0.63,0.74,0.533,0.533,0.579
Image_5585,384,48,3,44,59,52,3.3,4,1.34,22,0.4,0.56,0.744,0.744,0.111
Image_5584,384,48,3,37,27,32,3.11,16,1.37,7,0.12,0.44,0.936,0.895,0.179
Image_5583,384,48,3,52,68,60,2.11,12,1.31,2,0.14,0.39,0.923,0.923,0.957
Image_5582,384,48,3,37,38,38,2.05,10,1.03,11,0.3,0.35,0.867,0.867,0.157
Image_5581,384,48,3,72,101,86,4.3,38,1.4,2,0.31,0.56,0.857,0.857,0.667
Image_5580,384,48,3,42,48,45,1.94,3,1.14,16,0.27,0.56,0.84,0.84,0.091
Image_5576,384,48,3,44,48,46,4.38,2,1.09,7,0.09,0.53,0.935,0.935,0.084
Image_5575,384,48,3,69,73,71,3.01,23,1.06,3,0.32,0.47,0.857,0.857,0.909
Image_5574,384,48,3,20,21,20,1.09,28,1.05,8,0.08,0.45,0.952,0.86,0.154
Image_5573,384,48,3,42,43,42,2.25,6,1.02,0,0.0,0.29,1.0,1.0,0.207
Image_5572,384,48,3,60,96,78,7.49,30,1.6,6,1.71,0.41,0.333,0.5,0.364
Image_5571,384,48,3,51,65,58,1.59,10,1.27,13,0.39,0.61,0.755,0.731,0.75
Image_5568,384,48,3,38,49,44,9.86,4,1.29,1,0.03,0.43,0.931,0.784,0.154
Image_5567,384,48,3,45,41,43,6.13,5,1.1,3,0.06,0.37,0.95,0.939,0.075
Image_5566,384,48,3,60,74,67,9.57,19,1.23,6,0.15,0.36,0.886,0.886,0.263
Image_5563,384,48,3,17,12,14,2.03,34,1.42,53,0.22,0.69,0.869,0.867,0.086
Image_5390,384,48,3,84,53,68,10.3,20,1.58,0,0.0,0.43,0.88,0.88,0.25
Image_5386,384,48,3,51,77,64,1.97,16,1.51,2,0.12,0.39,0.933,0.933,0.414
Image_5382,384,48,3,48,65,56,2.34,8,1.35,2,0.17,0.56,0.842,0.706,0.577
Image_5380,384,48,3,94,76,85,6.04,37,1.24,1,0.1,0.48,0.947,0.947,1.0
Image_5378,384,48,3,76,73,74,2.42,26,1.04,5,0.3,0.58,0.815,0.815,0.267
Image_5376,384,48,3,100,77,88,6.25,40,1.3,1,0.07,0.62,0.923,0.963,0.87
Image_5375,384,48,3,100,79,90,7.9,42,1.27,0,0.0,0.4,0.971,0.971,0.8
Image_5372,384,48,3,57,47,52,5.72,4,1.21,2,0.06,0.41,0.935,0.969,0.652
Image_5371,384,48,3,53,52,52,3.28,4,1.02,0,0.0,0.35,1.0,0.952,0.204
Image_5369,384,48,3,42,50,46,5.72,2,1.19,0,0.0,0.42,0.98,0.917,0.207
Image_5368,384,48,3,26,24,25,1.72,23,1.08,10,0.07,0.47,0.946,0.939,0.013
Image_5367,384,48,3,19,31,25,0.47,23,1.63,9,0.06,0.45,0.954,0.94,0.026
Image_5366,384,48,3,26,37,32,1.56,16,1.42,2,0.04,0.36,0.973,0.946,0.348
Image_5364,384,48,3,49,56,52,2.57,4,1.14,4,0.15,0.41,0.898,0.92,0.722
Image_5363,384,48,3,31,40,36,3.71,12,1.29,3,0.09,0.37,0.955,0.941,0.108
Image_5361,384,48,3,29,43,36,4.15,12,1.48,6,0.28,0.35,0.875,0.875,0.138
Image_5360,384,48,3,29,40,34,2.55,14,1.38,4,0.06,0.36,0.97,0.913,0.169
Image_5359,384,48,3,17,24,20,0.64,28,1.41,5,0.13,0.49,0.93,0.866,0.491
Image_5358,384,48,3,55,73,64,3.13,16,1.33,18,0.41,0.54,0.735,0.735,0.148
Image_5149,384,48,3,25,32,28,2.16,20,1.28,8,0.08,0.52,0.94,0.895,0.035
Image_5143,384,48,3,23,45,34,8.85,14,1.96,16,0.2,0.57,0.879,0.871,0.089
Image_5142,384,48,3,22,29,26,3.27,22,1.32,41,0.17,0.55,0.841,0.872,0.03
Image_4970,384,48,3,35,46,40,1.87,8,1.31,2,0.05,0.49,0.916,0.876,0.301
Image_4969,384,48,3,38,28,33,5.18,15,1.36,14,0.11,0.44,0.897,0.892,0.0
Image_4967,384,48,3,65,99,82,3.4,34,1.52,2,0.11,0.52,0.789,0.858,0.417
Image_4966,384,48,3,60,83,72,6.22,24,1.38,3,0.07,0.42,0.896,0.896,0.083
Image_4965,384,48,3,75,120,98,17.03,50,1.6,6,0.63,0.61,0.716,0.75,0.636
Image_4964,384,48,3,41,55,48,8.38,0,1.34,2,0.04,0.33,0.95,0.918,0.206
Image_4963,384,48,3,19,31,25,2.49,23,1.63,57,0.21,0.5,0.871,0.882,0.018
Image_4962,384,48,3,37,41,39,5.26,9,1.11,4,0.12,0.38,0.938,0.786,0.444
Image_4961,384,48,3,10,17,14,1.97,34,1.7,126,0.26,0.7,0.827,0.799,0.045
Image_4960,384,48,3,59,84,72,19.51,24,1.42,3,0.09,0.49,0.857,0.915,0.766
Image_4959,384,48,3,38,62,50,1.65,2,1.63,6,0.16,0.49,0.806,0.702,0.268
Image_4958,384,48,3,44,60,52,11.44,4,1.36,3,0.02,0.38,0.952,0.874,0.05
Image_4957,384,48,3,26,35,30,9.81,18,1.35,14,0.13,0.46,0.862,0.874,0.041
Image_4956,384,48,3,27,45,36,7.56,12,1.67,0,0.0,0.46,0.86,0.86,0.125
Image_4955,384,48,3,35,46,40,9.02,8,1.31,3,0.02,0.34,0.887,0.81,0.041
Image_4954,384,48,3,43,66,54,9.37,6,1.53,6,0.26,0.5,0.849,0.849,0.598
Image_4953,384,48,3,30,52,41,7.53,7,1.73,6,0.1,0.42,0.935,0.914,0.179
Image_4952,384,48,3,19,23,21,3.12,27,1.21,14,0.05,0.5,0.899,0.887,0.016
Image_4951,384,48,3,22,19,20,3.11,28,1.16,18,0.1,0.62,0.908,0.843,0.052
Image_4950,384,48,3,41,54,48,11.93,0,1.32,10,0.23,0.5,0.868,0.868,0.453
Image_4949,384,48,3,24,35,30,3.76,18,1.46,7,0.07,0.49,0.921,0.873,0.06
Image_4948,384,48,3,81,140,110,17.37,62,1.73,11,1.47,0.6,0.463,0.535,0.824
Image_4947,384,48,3,20,35,28,3.65,20,1.75,58,0.22,0.49,0.864,0.869,0.019
Image_4946,384,48,3,40,56,48,12.03,0,1.4,3,0.04,0.4,0.879,0.879,0.196
Image_4945,384,48,3,33,44,38,1.26,10,1.33,3,0.07,0.47,0.886,0.706,0.24
Image_4944,384,48,3,24,32,28,4.51,20,1.33,17,0.26,0.57,0.842,0.766,0.124
Image_4943,384,48,3,42,64,53,2.46,5,1.52,5,0.07,0.44,0.889,0.852,0.06
Image_4942,384,48,3,49,78,64,2.21,16,1.59,12,0.27,0.36,0.871,0.862,0.328
Image_4941,384,48,3,31,42,36,3.71,12,1.35,5,0.03,0.32,0.928,0.852,0.023
Image_4940,384,48,3,53,98,76,5.22,28,1.85,2,0.07,0.38,0.897,0.858,0.591
Image_4939,384,48,3,70,95,82,16.33,34,1.36,2,0.11,0.48,0.947,0.922,0.621
Image_4938,384,48,3,26,51,38,9.32,10,1.96,11,0.16,0.52,0.878,0.745,0.108
Image_4933,384,48,3,77,59,68,8.67,20,1.31,1,0.02,0.43,0.942,0.932,0.071
Image_4924,384,48,3,36,59,48,4.56,0,1.64,2,0.03,0.47,0.831,0.887,0.233
Image_4923,384,48,3,39,59,49,4.47,1,1.51,1,0.03,0.46,0.896,0.914,0.852
Image_4908,384,48,3,42,74,58,7.45,10,1.76,10,0.69,0.34,0.694,0.737,0.884
Image_4904,384,48,3,60,86,73,9.72,25,1.43,4,0.53,0.3,0.778,0.73,0.842
Image_4903,384,48,3,56,73,64,3.09,16,1.3,8,0.3,0.48,0.818,0.818,0.2
Image_4885,384,48,3,51,41,46,6.71,2,1.24,2,0.15,0.75,0.143,0.375,0.556
Image_4875,384,48,3,57,74,66,4.85,18,1.3,15,0.27,0.56,0.842,0.842,0.095
Image_4874,384,48,3,43,66,54,5.17,6,1.53,15,0.18,0.45,0.863,0.863,0.057
Image_4502,384,48,3,23,312,168,3.28,120,13.57,17,0.44,0.67,0.233,0.146,0.0
Image_4501,384,48,3,20,321,170,5.21,122,16.05,8,0.3,0.74,0.267,0.267,0.267
Image_4500,384,48,3,44,351,198,8.12,150,7.98,2,0.19,0.71,0.462,0.462,0.286
Image_4497,384,48,3,24,301,162,11.72,114,12.54,15,0.51,0.82,0.067,0.129,0.222
Image_4496,384,48,3,27,337,182,10.04,134,12.48,144,0.91,0.93,0.12,0.131,0.235
Image_4494,384,48,3,14,285,150,11.98,102,20.36,28,0.51,0.69,0.286,0.258,0.074
Image_4493,384,48,3,19,308,164,2.21,116,16.21,2,0.12,0.76,0.219,0.219,0.111
Image_4409,384,48,3,48,80,64,13.0,16,1.67,9,0.49,0.79,0.667,0.667,0.875
Image_4407,384,48,3,20,39,30,18.12,18,1.95,14,0.25,0.36,0.816,0.808,0.677
Image_4406,384,48,3,13,27,20,11.5,28,2.08,1,0.09,0.47,0.913,0.811,0.957
Image_4296,384,48,3,59,67,63,3.89,15,1.14,1,0.03,0.37,0.917,0.917,0.476
Image_4286,384,48,3,17,27,22,4.13,26,1.59,60,0.15,0.49,0.879,0.89,0.012
Image_4175,384,48,3,78,126,102,4.58,54,1.62,8,0.59,0.7,0.765,0.765,0.704
Image_4170,384,48,3,29,119,74,5.58,26,4.1,16,0.32,0.6,0.718,0.611,0.105
Image_4123,384,48,3,69,61,65,10.97,17,1.13,3,0.29,0.41,0.87,0.87,0.661
Image_4122,384,48,3,68,111,90,16.9,42,1.63,4,0.24,0.57,0.857,0.857,0.4
Image_4121,384,48,3,69,108,88,7.0,40,1.57,2,0.16,0.65,0.909,0.909,0.571
Image_4120,384,48,3,43,56,50,3.53,2,1.3,2,0.04,0.44,0.933,0.945,0.083
Image_4119,384,48,3,78,112,95,2.49,47,1.44,5,0.67,0.43,0.737,0.737,0.909
Image_4116,384,48,3,59,80,70,4.25,22,1.36,3,0.16,0.49,0.909,0.875,0.211
Image_4115,384,48,3,39,72,56,4.39,8,1.85,4,0.89,0.64,0.6,0.6,0.48
Image_4113,384,48,3,40,57,48,4.57,0,1.43,18,0.32,0.64,0.791,0.791,0.13
Image_4111,384,48,3,35,42,38,2.94,10,1.2,5,0.17,0.56,0.863,0.863,0.452
Image_4110,384,48,3,132,52,92,17.65,44,2.54,0,0.0,0.49,0.857,0.737,0.667
Image_4089,384,48,3,31,60,46,1.33,2,1.94,13,0.18,0.43,0.901,0.901,0.066
Image_4088,384,48,3,46,59,52,4.74,4,1.28,6,0.17,0.47,0.903,0.885,0.185
Image_4087,384,48,3,40,31,36,0.71,12,1.29,1,0.01,0.42,0.965,0.97,0.033
Image_4086,384,48,3,53,75,64,2.4,16,1.42,2,0.14,0.42,0.923,0.923,0.857
Image_4085,384,48,3,26,36,31,1.44,17,1.38,6,0.06,0.44,0.954,0.942,0.023
Image_4084,384,48,3,44,57,50,6.06,2,1.3,6,0.32,0.57,0.8,0.8,0.154
Image_4083,384,48,3,54,54,54,1.32,6,1.0,36,0.62,0.29,0.763,0.763,0.062
Image_4082,384,48,3,28,22,25,1.78,23,1.27,8,0.08,0.43,0.847,0.897,0.018
Image_4079,384,48,3,44,61,52,3.18,4,1.39,3,0.11,0.35,0.941,0.941,0.545
Image_4078,384,48,3,32,52,42,3.92,6,1.62,9,0.18,0.38,0.907,0.88,0.129
Image_4077,384,48,3,17,34,26,4.73,22,2.0,16,0.08,0.36,0.949,0.889,0.026
Image_4074,384,48,3,48,62,55,2.63,7,1.29,13,0.36,0.56,0.78,0.78,0.357
Image_4073,384,48,3,65,60,62,5.03,14,1.08,8,0.24,0.39,0.862,0.862,0.333
Image_4072,384,48,3,65,86,76,4.11,28,1.32,1,0.08,0.44,0.957,0.957,0.625
Image_4069,384,48,3,35,26,30,2.89,18,1.35,0,0.0,0.39,0.956,0.932,0.033
Image_4068,384,48,3,71,99,85,4.99,37,1.39,2,0.16,0.54,0.909,0.909,0.333
Image_4067,384,48,3,38,52,45,2.07,3,1.37,0,0.0,0.42,0.988,0.95,0.091
Image_4066,384,48,3,72,98,85,4.13,37,1.36,1,0.12,0.45,0.814,0.882,0.882
Image_4065,384,48,3,51,40,46,4.7,2,1.27,7,0.16,0.49,0.914,0.9,0.15
Image_4063,384,48,3,57,57,57,3.93,9,1.0,2,0.15,0.44,0.917,0.917,0.533
Image_4062,384,48,3,15,25,20,4.78,28,1.67,81,0.23,0.53,0.846,0.864,0.033
Image_3697,384,48,3,149,108,128,8.06,80,1.38,6,0.34,0.75,0.786,0.786,0.308
Image_3696,384,48,3,146,126,136,6.6,88,1.16,7,0.45,0.82,0.696,0.696,0.4
Image_3694,384,48,3,57,86,72,4.52,24,1.51,1,0.03,0.48,0.889,0.889,0.162
Image_3693,384,48,3,44,54,49,2.17,1,1.23,5,0.16,0.27,0.925,0.925,0.154
Image_3651,384,48,3,89,114,102,8.77,54,1.28,1,0.1,0.67,0.905,0.905,0.308
Image_3650,384,48,3,47,81,64,9.85,16,1.72,3,0.26,0.61,0.802,0.755,0.845
Image_3645,384,48,3,45,49,47,8.12,1,1.09,12,0.25,0.47,0.881,0.881,0.065
Image_3644,384,48,3,63,61,62,17.41,14,1.03,1,0.08,0.53,0.92,0.96,0.818
Image_3501,384,48,3,30,41,36,6.66,12,1.37,3,0.05,0.37,0.957,0.931,0.154
Image_3500,384,48,3,51,70,60,4.19,12,1.37,3,0.16,0.44,0.909,0.909,0.571
Image_3494,384,48,3,85,53,69,4.23,21,1.6,6,0.14,0.53,0.897,0.897,0.15
Image_3342,384,48,3,72,112,92,3.12,44,1.56,3,0.32,0.4,0.857,0.857,1.0
Image_3341,384,48,3,52,57,54,2.28,6,1.1,10,0.38,0.18,0.839,0.839,0.941
Image_3339,384,48,3,67,94,80,5.02,32,1.4,14,1.22,0.22,0.611,0.611,0.864
Image_3329,384,48,3,15,10,12,2.06,36,1.5,61,0.25,0.71,0.831,0.196,0.049
Image_3310,384,48,3,40,50,45,1.94,3,1.25,6,0.24,0.21,0.893,0.893,0.357
Image_3309,384,48,3,49,80,64,4.99,16,1.63,3,0.22,0.3,0.897,0.897,0.4
Image_3284,384,48,3,80,92,86,18.34,38,1.15,1,0.06,0.36,0.935,0.863,0.545
Image_3283,384,48,3,31,32,32,9.74,16,1.03,0,0.0,0.37,0.958,0.806,0.689
Image_3282,384,48,3,57,63,60,10.84,12,1.11,1,0.03,0.35,0.876,0.715,0.423
Image_3281,384,48,3,90,57,74,14.73,26,1.58,4,0.35,0.38,0.846,0.846,0.571
Image_3279,384,48,3,44,59,52,7.88,4,1.34,3,0.15,0.34,0.908,0.805,0.586
Image_3278,384,48,3,55,41,48,4.52,0,1.34,7,0.19,0.49,0.879,0.896,0.174
Image_3275,384,48,3,80,72,76,5.56,28,1.11,6,0.32,0.48,0.8,0.8,0.408
Image_3271,384,48,3,96,102,99,12.29,51,1.06,15,0.41,0.59,0.737,0.737,0.174
Image_3270,384,48,3,68,80,74,7.03,26,1.18,1,0.05,0.33,0.973,0.946,0.19
Image_3268,384,48,3,68,77,72,11.06,24,1.13,1,0.05,0.48,0.919,0.974,0.538
Image_3160,384,48,3,89,93,91,7.13,43,1.04,2,0.13,0.55,0.929,0.929,0.267
Image_2956,384,48,3,81,46,64,12.53,16,1.76,5,0.16,0.57,0.8,0.889,0.936
Image_2955,384,48,3,39,31,35,3.12,13,1.26,5,0.05,0.43,0.956,0.931,0.037
Image_2954,384,48,3,47,78,62,0.88,14,1.66,3,0.08,0.43,0.767,0.856,0.566
Image_2952,384,48,3,28,59,44,3.1,4,2.11,5,0.07,0.43,0.933,0.933,0.189
Image_2951,384,48,3,39,68,54,1.05,6,1.74,3,0.17,0.43,0.903,0.867,0.667
Image_2949,384,48,3,87,37,62,2.86,14,2.35,23,0.48,0.6,0.676,0.676,0.588
Image_2948,384,48,3,80,78,79,3.24,31,1.03,0,0.0,0.49,0.9,1.0,0.9
Image_2947,384,48,3,51,60,56,1.97,8,1.18,1,0.03,0.33,0.942,0.942,0.642
Image_2946,384,48,3,72,63,68,12.06,20,1.14,1,0.07,0.51,0.96,0.96,0.757
Image_2945,384,48,3,75,52,64,1.33,16,1.44,5,0.26,0.53,0.848,0.848,0.963
Image_2944,384,48,3,37,59,48,7.86,0,1.59,3,0.05,0.39,0.939,0.931,0.381
Image_2943,384,48,3,58,60,59,1.65,11,1.03,4,0.12,0.45,0.9,0.935,0.816
Image_2942,384,48,3,48,48,48,1.03,0,1.0,5,0.24,0.3,0.869,0.869,0.554
Image_2941,384,48,3,86,82,84,10.9,36,1.05,3,0.15,0.62,0.857,0.919,0.692
Image_2939,384,48,3,24,32,28,4.29,20,1.33,14,0.36,0.39,0.794,0.804,0.331
Image_2938,384,48,3,79,68,74,15.61,26,1.16,1,0.1,0.65,0.947,0.824,0.875
Image_2937,384,48,3,44,44,44,12.12,4,1.0,33,0.73,0.31,0.732,0.732,0.227
Image_2936,384,48,3,84,54,69,12.91,21,1.56,8,0.25,0.53,0.784,0.852,0.789
Image_2935,384,48,3,83,41,62,2.41,14,2.02,0,0.0,0.47,0.96,0.917,0.917
Image_2933,384,48,3,53,36,44,10.11,4,1.47,7,0.13,0.47,0.905,0.928,0.657
Image_2932,384,48,3,94,54,74,11.58,26,1.74,7,0.22,0.51,0.857,0.877,0.571
Image_2931,384,48,3,59,49,54,26.1,6,1.2,5,0.1,0.45,0.815,0.897,0.418
Image_2930,384,48,3,35,46,40,4.48,8,1.31,9,0.13,0.51,0.922,0.905,0.125
Image_2929,384,48,3,37,35,36,2.45,12,1.06,7,0.1,0.49,0.932,0.952,0.075
Image_2927,384,48,3,30,46,38,4.29,10,1.53,0,0.0,0.41,0.775,0.911,0.429
Image_2926,384,48,3,94,53,74,6.51,26,1.77,10,0.29,0.52,0.828,0.828,0.884
Image_2924,384,48,3,47,45,46,2.54,2,1.04,3,0.06,0.32,0.962,0.953,0.286
Image_2923,384,48,3,53,34,44,8.82,4,1.56,29,0.5,0.38,0.797,0.786,0.108
Image_2922,384,48,3,75,66,70,14.52,22,1.14,0,0.0,0.38,0.882,0.973,0.882
