,image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mre,qual_score,mae,score
172,Image_4066,384,24,3,72,98,85,4.13,61,1.36,0.12,0.48,1.0,0.4
173,Image_4065,384,24,3,51,40,46,4.7,22,1.27,0.29,0.54,15.0,0.5
174,Image_4063,384,24,3,57,57,57,3.93,33,1.0,0.1,0.46,1.0,0.2
175,Image_4062,384,24,3,15,25,20,4.78,4,1.67,0.29,0.55,113.0,0.35
176,Image_3697,384,24,3,149,108,128,8.06,104,1.38,0.21,0.81,3.0,0.5
177,Image_3696,384,24,3,146,126,136,6.6,112,1.16,0.27,0.91,3.0,0.5
178,Image_3694,384,24,3,57,86,72,4.52,48,1.51,0.23,0.53,10.0,0.7
179,Image_3693,384,24,3,44,54,49,2.17,25,1.23,0.1,0.38,4.0,0.2
180,Image_3651,384,24,3,89,114,102,8.77,78,1.28,0.83,0.74,5.0,0.5
181,Image_3650,384,24,3,47,81,64,9.85,40,1.72,0.75,0.57,6.0,0.2
182,Image_3645,384,24,3,45,49,47,8.12,23,1.09,0.09,0.53,6.0,0.3
183,Image_3644,384,24,3,63,61,62,17.41,38,1.03,0.07,0.58,1.0,0.4
184,Image_3501,384,24,3,30,41,36,6.66,12,1.37,0.08,0.42,5.0,0.2
185,Image_3500,384,24,3,51,70,60,4.19,36,1.37,0.12,0.46,2.0,0.1
186,Image_3494,384,24,3,85,53,69,4.23,45,1.6,0.12,0.53,5.0,0.2
187,Image_3342,384,24,3,72,112,92,3.12,68,1.56,0.14,0.53,2.0,0.3
188,Image_3341,384,24,3,52,57,54,2.28,30,1.1,0.44,0.2,11.0,0.1
189,Image_3339,384,24,3,67,94,80,5.02,56,1.4,1.78,0.25,16.0,0.4
190,Image_3329,384,24,3,15,10,12,2.06,12,1.5,0.32,0.71,83.0,0.6
191,Image_3310,384,24,3,40,50,45,1.94,21,1.25,0.0,0.3,0.0,0.0
192,Image_3309,384,24,3,49,80,64,4.99,40,1.63,0.0,0.35,0.0,0.0
