object,size,image_name,method,precision,recall,f1_score,computation_time
Small_nails_32,28,Image_7,otm,0.827,0.681,0.747,2.815
Small_nails_32,28,Image_8,otm,0.849,0.705,0.77,2.364
Small_nails_32,28,Image_9,otm,0.87,0.753,0.807,1.954
Small_nails_32,384,Image_0,otm,1.0,0.864,0.927,1.534
Small_nails_32,384,Image_1,otm,1.0,1.0,1.0,1.392
Small_nails_32,384,Image_10,otm,0.818,0.9,0.857,1.36
Small_nails_32,384,Image_2,otm,0.867,0.765,0.812,1.39
Small_nails_32,384,Image_3,otm,0.929,0.929,0.929,1.227
Small_nails_32,384,Image_4,otm,0.905,0.95,0.927,1.26
Small_nails_32,384,Image_5,otm,0.952,0.952,0.952,1.23
Small_nails_32,384,Image_6,otm,0.923,0.857,0.889,1.227
Small_nails_32,384,Image_7,otm,1.0,0.9,0.947,1.252
Small_nails_32,384,Image_8,otm,1.0,1.0,1.0,1.286
Small_nails_32,384,Image_9,otm,1.0,1.0,1.0,1.208
Small_nails_32,45,Image_0,otm,1.0,0.763,0.866,1.302
Small_nails_32,45,Image_1,otm,0.938,0.882,0.909,1.27
Small_nails_32,45,Image_10,otm,0.968,0.968,0.968,1.541
Small_nails_32,45,Image_2,otm,0.867,0.839,0.852,1.286
Small_nails_32,45,Image_3,otm,0.922,0.831,0.874,1.598
Small_nails_32,45,Image_4,otm,0.912,0.912,0.912,1.289
Small_nails_32,45,Image_5,otm,0.824,0.903,0.862,1.318
Small_nails_32,45,Image_6,otm,0.914,0.914,0.914,1.299
Small_nails_32,45,Image_7,otm,0.871,0.844,0.857,1.494
Small_nails_32,45,Image_8,otm,0.897,0.929,0.912,1.378
Small_nails_32,45,Image_9,otm,0.857,0.857,0.857,1.238
Small_nails_32,68,Image_0,otm,0.841,0.841,0.841,1.404
Small_nails_32,68,Image_1,otm,0.865,0.8,0.831,1.271
Small_nails_32,68,Image_10,otm,0.853,0.829,0.841,1.311
Small_nails_32,68,Image_2,otm,0.86,0.86,0.86,1.352
Small_nails_32,68,Image_3,otm,1.0,0.97,0.985,1.285
Small_nails_32,68,Image_4,otm,0.875,0.875,0.875,1.328
Small_nails_32,68,Image_5,otm,0.917,0.805,0.857,1.272
Small_nails_32,68,Image_6,otm,0.903,0.848,0.875,1.345
Small_nails_32,68,Image_7,otm,0.966,0.903,0.933,1.249
Small_nails_32,68,Image_8,otm,0.893,0.862,0.877,1.562
Small_nails_32,68,Image_9,otm,0.812,0.812,0.812,1.297
