image_name,resized_size,patch_size,kernel_dim,Avg_ref_h,Avg_ref_z,mean_box_size,std_size,diff_patch_mbs,aspect_ratio,mae,mre,qual_score
Image_6644,384,48,3,6,12,9,0.71,39,2.0,71,0.12,0.8
Image_5944,384,48,3,40,57,48,2.85,0,1.43,0,0.0,0.43
Image_5940,384,48,3,78,79,78,13.21,30,1.01,4,0.17,0.42
Image_5939,384,48,3,83,133,108,18.67,60,1.6,0,0.0,0.56
Image_5938,384,48,3,57,88,72,6.97,24,1.54,3,0.11,0.45
Image_5936,384,48,3,54,69,62,2.19,14,1.28,3,0.19,0.28
Image_5934,384,48,3,61,84,72,7.26,24,1.38,7,0.29,0.47
Image_5933,384,48,3,79,44,62,6.98,14,1.8,7,0.36,0.56
Image_5932,384,48,3,99,64,82,4.21,34,1.55,2,0.09,0.34
Image_5931,384,48,3,86,137,112,8.67,64,1.59,2,0.27,0.61
Image_5930,384,48,3,65,71,68,2.72,20,1.09,15,0.51,0.63
Image_5929,384,48,3,32,57,44,3.11,4,1.78,7,0.1,0.33
Image_5926,384,48,3,42,73,58,1.05,10,1.74,1,0.11,0.43
Image_5925,384,48,3,138,98,118,19.77,70,1.41,6,0.36,0.39
Image_5924,384,48,3,101,103,102,6.4,54,1.02,3,0.22,0.4
Image_5923,384,48,3,81,68,74,3.3,26,1.19,9,0.4,0.57
Image_5922,384,48,3,26,36,31,0.94,17,1.38,11,0.24,0.59
Image_5921,384,48,3,51,76,64,1.82,16,1.49,0,0.0,0.39
Image_5918,384,48,3,72,53,62,3.25,14,1.36,1,0.09,0.46
Image_5917,384,48,3,53,74,64,1.57,16,1.4,3,0.19,0.59
Image_5915,384,48,3,49,56,52,2.87,4,1.14,6,0.32,0.5
Image_5602,384,48,3,54,74,64,1.57,16,1.37,27,0.56,0.67
Image_5601,384,48,3,54,74,64,1.67,16,1.37,13,0.37,0.61
Image_5600,384,48,3,21,24,22,1.05,26,1.14,5,0.03,0.46
Image_5598,384,48,3,58,79,68,1.71,20,1.36,8,0.25,0.48
Image_5596,384,48,3,35,49,42,4.73,6,1.4,8,0.25,0.39
Image_5595,384,48,3,69,92,80,4.59,32,1.33,1,0.07,0.48
Image_5594,384,48,3,60,77,68,2.89,20,1.28,11,0.42,0.66
Image_5593,384,48,3,49,65,57,3.83,9,1.33,24,0.51,0.67
Image_5592,384,48,3,37,21,29,1.18,19,1.76,3,0.03,0.41
Image_5591,384,48,3,65,47,56,2.98,8,1.38,14,0.3,0.5
Image_5590,384,48,3,74,102,88,7.77,40,1.38,4,0.19,0.44
Image_5588,384,48,3,36,42,39,2.51,9,1.17,8,0.14,0.45
Image_5587,384,48,3,57,72,64,2.1,16,1.26,28,0.63,0.74
Image_5585,384,48,3,44,59,52,3.3,4,1.34,22,0.4,0.56
Image_5584,384,48,3,37,27,32,3.11,16,1.37,7,0.12,0.44
Image_5583,384,48,3,52,68,60,2.11,12,1.31,2,0.14,0.39
Image_5582,384,48,3,37,38,38,2.05,10,1.03,11,0.3,0.35
Image_5581,384,48,3,72,101,86,4.3,38,1.4,2,0.31,0.56
Image_5580,384,48,3,42,48,45,1.94,3,1.14,16,0.27,0.56
Image_5576,384,48,3,44,48,46,4.38,2,1.09,7,0.09,0.53
Image_5575,384,48,3,69,73,71,3.01,23,1.06,3,0.32,0.47
Image_5574,384,48,3,20,21,20,1.09,28,1.05,8,0.08,0.45
Image_5573,384,48,3,42,43,42,2.25,6,1.02,0,0.0,0.29
Image_5572,384,48,3,60,96,78,7.49,30,1.6,6,1.71,0.41
Image_5571,384,48,3,51,65,58,1.59,10,1.27,13,0.39,0.61
Image_5568,384,48,3,38,49,44,9.86,4,1.29,1,0.03,0.43
Image_5567,384,48,3,45,41,43,6.13,5,1.1,3,0.06,0.37
Image_5566,384,48,3,60,74,67,9.57,19,1.23,6,0.15,0.36
Image_5563,384,48,3,17,12,14,2.03,34,1.42,53,0.22,0.69
Image_5390,384,48,3,84,53,68,10.3,20,1.58,0,0.0,0.43
Image_5386,384,48,3,51,77,64,1.97,16,1.51,2,0.12,0.39
Image_5382,384,48,3,48,65,56,2.34,8,1.35,2,0.17,0.56
Image_5380,384,48,3,94,76,85,6.04,37,1.24,1,0.1,0.48
Image_5378,384,48,3,76,73,74,2.42,26,1.04,5,0.3,0.58
Image_5376,384,48,3,100,77,88,6.25,40,1.3,1,0.07,0.62
Image_5375,384,48,3,100,79,90,7.9,42,1.27,0,0.0,0.4
Image_5372,384,48,3,57,47,52,5.72,4,1.21,2,0.06,0.41
Image_5371,384,48,3,53,52,52,3.28,4,1.02,0,0.0,0.35
Image_5369,384,48,3,42,50,46,5.72,2,1.19,0,0.0,0.42
Image_5368,384,48,3,26,24,25,1.72,23,1.08,10,0.07,0.47
Image_5367,384,48,3,19,31,25,0.47,23,1.63,9,0.06,0.45
Image_5366,384,48,3,26,37,32,1.56,16,1.42,2,0.04,0.36
Image_5364,384,48,3,49,56,52,2.57,4,1.14,4,0.15,0.41
Image_5363,384,48,3,31,40,36,3.71,12,1.29,3,0.09,0.37
Image_5361,384,48,3,29,43,36,4.15,12,1.48,6,0.28,0.35
Image_5360,384,48,3,29,40,34,2.55,14,1.38,4,0.06,0.36
Image_5359,384,48,3,17,24,20,0.64,28,1.41,5,0.13,0.49
Image_5358,384,48,3,55,73,64,3.13,16,1.33,18,0.41,0.54
Image_5149,384,48,3,25,32,28,2.16,20,1.28,8,0.08,0.52
Image_5143,384,48,3,23,45,34,8.85,14,1.96,16,0.2,0.57
Image_5142,384,48,3,22,29,26,3.27,22,1.32,41,0.17,0.55
Image_4970,384,48,3,35,46,40,1.87,8,1.31,2,0.05,0.49
Image_4969,384,48,3,38,28,33,5.18,15,1.36,14,0.11,0.44
Image_4967,384,48,3,65,99,82,3.4,34,1.52,2,0.11,0.52
Image_4966,384,48,3,60,83,72,6.22,24,1.38,3,0.07,0.42
Image_4965,384,48,3,75,120,98,17.03,50,1.6,6,0.63,0.61
Image_4964,384,48,3,41,55,48,8.38,0,1.34,2,0.04,0.33
Image_4963,384,48,3,19,31,25,2.49,23,1.63,57,0.21,0.5
Image_4962,384,48,3,37,41,39,5.26,9,1.11,4,0.12,0.38
Image_4961,384,48,3,10,17,14,1.97,34,1.7,126,0.26,0.7
Image_4960,384,48,3,59,84,72,19.51,24,1.42,3,0.09,0.49
Image_4959,384,48,3,38,62,50,1.65,2,1.63,6,0.16,0.49
Image_4958,384,48,3,44,60,52,11.44,4,1.36,3,0.02,0.38
Image_4957,384,48,3,26,35,30,9.81,18,1.35,14,0.13,0.46
Image_4956,384,48,3,27,45,36,7.56,12,1.67,0,0.0,0.46
Image_4955,384,48,3,35,46,40,9.02,8,1.31,3,0.02,0.34
Image_4954,384,48,3,43,66,54,9.37,6,1.53,6,0.26,0.5
Image_4953,384,48,3,30,52,41,7.53,7,1.73,6,0.1,0.42
Image_4952,384,48,3,19,23,21,3.12,27,1.21,14,0.05,0.5
Image_4951,384,48,3,22,19,20,3.11,28,1.16,18,0.1,0.62
Image_4950,384,48,3,41,54,48,11.93,0,1.32,10,0.23,0.5
Image_4949,384,48,3,24,35,30,3.76,18,1.46,7,0.07,0.49
Image_4948,384,48,3,81,140,110,17.37,62,1.73,11,1.47,0.6
Image_4947,384,48,3,20,35,28,3.65,20,1.75,58,0.22,0.49
Image_4946,384,48,3,40,56,48,12.03,0,1.4,3,0.04,0.4
Image_4945,384,48,3,33,44,38,1.26,10,1.33,3,0.07,0.47
Image_4944,384,48,3,24,32,28,4.51,20,1.33,17,0.26,0.57
Image_4943,384,48,3,42,64,53,2.46,5,1.52,5,0.07,0.44
Image_4942,384,48,3,49,78,64,2.21,16,1.59,12,0.27,0.36
