image_name,resized_size,patch_size,Avg_ref_h,Avg_ref_z,mean_box_size,diff_patch_mbs,mae, score
Image_5600,384,32,21,24,22,10,17,0.8
Image_5598,384,32,58,79,68,36,9,0.6
Image_5596,384,32,35,49,42,10,3,0.8
Image_5595,384,32,69,92,80,48,7,0.5
Image_5594,384,32,60,77,68,36,9,0.3
Image_5593,384,32,49,65,57,25,9,0.35
Image_5592,384,32,37,21,29,3,14,0.85
Image_5591,384,32,65,47,56,24,6,0.7
Image_5590,384,32,74,102,88,56,1,0.5
Image_5588,384,32,36,42,39,7,0,0.7
Image_5587,384,32,57,72,64,32,7,0.6
Image_5585,384,32,44,59,52,20,8,0.7
Image_5584,384,32,37,27,32,0,14,0.75
Image_5583,384,32,52,68,60,28,1,0.6
Image_5582,384,32,37,38,38,6,17,0.65
Image_5581,384,32,72,101,86,54,3,0.5
Image_5580,384,32,42,48,45,13,4,0.8
Image_5576,384,32,44,48,46,14,6,0.65
Image_5575,384,32,69,73,71,39,5,0.5
Image_5574,384,32,20,21,20,12,32,0.7
Image_5573,384,32,42,43,42,10,0,1.0
Image_5572,384,32,60,96,78,46,8,0.6
Image_5571,384,32,51,65,58,26,1,0.65
Image_5568,384,32,38,49,44,12,2,0.8
Image_5567,384,32,45,41,43,11,2,0.7
Image_5566,384,32,60,74,67,35,7,0.6
Image_5563,384,32,17,12,14,18,55,0.6
Image_5390,384,32,84,53,68,36,6,0.4
Image_5386,384,32,51,77,64,32,2,0.45
Image_5382,384,32,48,65,56,24,1,0.4
Image_5380,384,32,94,76,85,53,7,0.5
Image_5378,384,32,76,73,74,42,5,0.5
Image_5376,384,32,100,77,88,56,10,0.3
Image_5375,384,32,100,79,90,58,1,0.6
Image_5372,384,32,57,47,52,20,3,0.65
Image_5371,384,32,53,52,52,20,4,0.9
Image_5369,384,32,42,50,46,14,7,0.5
Image_5368,384,32,26,24,25,7,1,0.85
Image_5367,384,32,19,31,25,7,14,0.9
Image_5366,384,32,26,37,32,0,7,0.7
Image_5364,384,32,49,56,52,20,6,0.6
Image_5363,384,32,31,40,36,4,5,0.7
Image_5361,384,32,29,43,36,4,6,0.65
Image_5360,384,32,29,40,34,2,8,0.75
Image_5359,384,32,17,24,20,12,9,1.0
Image_5358,384,32,55,73,64,32,7,0.9
Image_5149,384,32,25,32,28,4,12,0.5
Image_5143,384,32,23,45,34,2,16,0.6
Image_5142,384,32,22,29,26,6,8,0.7
Image_4970,384,32,35,46,40,8,8,0.45
Image_4969,384,32,38,28,33,1,17,0.7
Image_4967,384,32,65,99,82,50,5,0.4
Image_4966,384,32,60,83,72,40,22,0.5
Image_4965,384,32,75,120,98,66,9,0.35
Image_4964,384,32,41,55,48,16,7,0.75
Image_4963,384,32,19,31,25,7,45,0.8
Image_4962,384,32,37,41,39,7,11,0.8
Image_4961,384,32,10,17,14,18,85,0.7
Image_4960,384,32,59,84,72,40,7,0.6
Image_4959,384,32,38,62,50,18,4,0.65
Image_4958,384,32,44,60,52,20,24,0.7
Image_4957,384,32,26,35,30,2,1,0.75
Image_4956,384,32,27,45,36,4,6,0.8
Image_4955,384,32,35,46,40,8,3,0.9
Image_4954,384,32,43,66,54,22,11,0.4
Image_4953,384,32,30,52,41,9,5,0.8
Image_4952,384,32,19,23,21,11,36,0.85
Image_4951,384,32,22,19,20,12,42,0.8
Image_4950,384,32,41,54,48,16,3,0.8
Image_4949,384,32,24,35,30,2,10,0.7
Image_4948,384,32,81,140,110,78,16,0.2
Image_4947,384,32,20,35,28,4,57,0.8
Image_4946,384,32,40,56,48,16,4,0.75
Image_4945,384,32,33,44,38,6,2,0.75
Image_4944,384,32,24,32,28,4,13,0.8
Image_4943,384,32,42,64,53,21,7,0.7
Image_4942,384,32,49,78,64,32,8,0.75
Image_4941,384,32,31,42,36,4,13,0.9
Image_4940,384,32,53,98,76,44,2,0.8
Image_4939,384,32,70,95,82,50,7,0.65
Image_4938,384,32,26,51,38,6,7,0.8
Image_4933,384,32,77,59,68,36,6,0.7
Image_4924,384,32,36,59,48,16,1,0.9
Image_4923,384,32,39,59,49,17,7,0.7
Image_4908,384,32,42,74,58,26,9,0.75
Image_4904,384,32,60,86,73,41,10,0.6
Image_4903,384,32,56,73,64,32,0,0.8
Image_4885,384,32,51,41,46,14,1,0.7
Image_4875,384,32,57,74,66,34,6,0.6
Image_4874,384,32,43,66,54,22,4,0.85
Image_4502,384,32,23,312,168,136,9,0.1
Image_4501,384,32,20,321,170,138,7,0.1
Image_4500,384,32,44,351,198,166,4,0.0
Image_4497,384,32,24,301,162,130,5,0.1
Image_4496,384,32,27,337,182,150,21,0.1
Image_4494,384,32,14,285,150,118,8,0.1
Image_4493,384,32,19,308,164,132,13,0.0
Image_4409,384,32,48,80,64,32,1,0.1
Image_4407,384,32,20,39,30,2,14,0.7
Image_4406,384,32,13,27,20,12,0,0.9
Image_4296,384,32,59,67,63,31,1,0.8
Image_4286,384,32,17,27,22,10,120,0.85
Image_4175,384,32,78,126,102,70,8,0.6
Image_4170,384,32,29,119,74,42,7,0.4
Image_4123,384,32,69,61,65,33,6,0.2
Image_4122,384,32,68,111,90,58,1,0.1
Image_4121,384,32,69,108,88,56,1,0.6
Image_4120,384,32,43,56,50,18,11,0.7
Image_4119,384,32,78,112,95,63,10,0.4
Image_4116,384,32,59,80,70,38,17,0.5
Image_4115,384,32,39,72,56,24,4,0.5
Image_4113,384,32,40,57,48,16,1,0.6
Image_4111,384,32,35,42,38,6,1,0.7
Image_4110,384,32,132,52,92,60,8,0.5
Image_4089,384,32,31,60,46,14,19,0.7
Image_4088,384,32,46,59,52,20,1,0.8
Image_4087,384,32,40,31,36,4,14,0.85
