object,size,image_name,method,precision,recall,f1_score,computation_time
Nails_32,45,Image_8,gmms,0.47,0.794,0.59,116.957
Nails_32,45,Image_8,hdbscan,0.5,0.074,0.128,94.584
Nails_32,68,Image_0_30,otm,0.852,0.451,0.59,19.824
Nails_32,68,Image_0_30,gmms,0.852,0.451,0.59,26.451
Nails_32,68,Image_0_30,hdbscan,0.929,0.255,0.4,29.056
Nails_32,68,Image_1,otm,0.447,0.981,0.614,121.359
Nails_32,68,Image_1,gmms,0.456,1.0,0.627,101.195
Nails_32,68,Image_1,hdbscan,1.0,0.096,0.175,88.231
Nuts,28,Image_0_50,otm,0.963,0.929,0.946,22.169
Nuts,28,Image_0_50,gmms,0.976,0.941,0.958,16.603
Nuts,28,Image_0_50,hdbscan,1.0,0.224,0.365,19.084
Nuts,28,Image_1,otm,0.941,0.909,0.925,8.993
Nuts,28,Image_1,gmms,0.976,0.943,0.96,17.793
Nuts,28,Image_1,hdbscan,1.0,0.307,0.47,15.596
Nuts,28,Image_10,otm,1.0,0.953,0.976,20.393
Nuts,28,Image_10,gmms,1.0,0.953,0.976,15.94
Nuts,28,Image_10,hdbscan,1.0,0.259,0.411,15.096
Nuts,28,Image_2,otm,1.0,0.966,0.983,13.88
Nuts,28,Image_2,gmms,0.988,0.955,0.971,18.197
Nuts,28,Image_2,hdbscan,1.0,0.18,0.305,17.148
Nuts,28,Image_3,otm,0.897,0.867,0.881,24.24
Nuts,28,Image_3,gmms,0.977,0.944,0.96,19.188
Nuts,28,Image_3,hdbscan,1.0,0.356,0.525,15.975
Nuts,28,Image_4,otm,0.92,0.899,0.909,23.583
Nuts,28,Image_4,gmms,0.977,0.955,0.966,15.581
Nuts,28,Image_4,hdbscan,1.0,0.404,0.576,14.996
Nuts,28,Image_5,otm,0.987,0.929,0.957,13.458
Nuts,28,Image_5,gmms,0.975,0.917,0.945,15.626
Nuts,28,Image_5,hdbscan,1.0,0.548,0.708,15.541
Nuts,28,Image_6,otm,0.963,0.929,0.946,21.661
Nuts,28,Image_6,gmms,0.976,0.941,0.958,16.982
Nuts,28,Image_6,hdbscan,1.0,0.329,0.496,16.452
Nuts,28,Image_7,otm,0.94,0.908,0.924,17.017
Nuts,28,Image_7,gmms,0.976,0.943,0.959,15.003
Nuts,28,Image_7,hdbscan,1.0,0.23,0.374,14.391
Nuts,28,Image_8,otm,0.91,0.871,0.89,25.637
Nuts,28,Image_8,gmms,0.978,0.935,0.956,18.035
Nuts,28,Image_8,hdbscan,1.0,0.301,0.463,16.413
Nuts,28,Image_9,otm,0.988,0.944,0.966,23.712
Nuts,28,Image_9,gmms,1.0,0.956,0.977,16.113
Nuts,28,Image_9,hdbscan,1.0,0.167,0.286,15.609
Nuts,384,Image_0_50,otm,1.0,0.917,0.957,3.444
Nuts,384,Image_0_50,gmms,1.0,0.917,0.957,9.393
Nuts,384,Image_0_50,hdbscan,1.0,0.583,0.737,21.782
Nuts,384,Image_1,otm,1.0,0.857,0.923,5.122
Nuts,384,Image_1,gmms,1.0,0.857,0.923,10.18
Nuts,384,Image_1,hdbscan,1.0,0.786,0.88,20.144
Nuts,384,Image_10,otm,1.0,0.8,0.889,3.143
Nuts,384,Image_10,gmms,1.0,0.8,0.889,6.766
Nuts,384,Image_10,hdbscan,1.0,0.7,0.824,13.996
Nuts,384,Image_2,otm,1.0,0.625,0.769,2.794
Nuts,384,Image_2,gmms,1.0,0.625,0.769,5.912
